ID,Gender,Location,Employment_Type,Work_Format,Company_Size,Experience_Level,Sector,Position,Average_Salary,J,L,Average_Salary_Numeric
2,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Growth Marketing Specialist,31.000-40.000 TL,10.000-30.000 TL,Almadım,35500.0
3,Kadın,Türkiye,Tam zamanlı,Hybrid,100-149,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım Geliştirici,21.000-30.000 TL,Ek gelirim yok,Henuz belli degil,25500.0
4,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,İş Analistliği,61.000-70.000 TL,Ek gelirim yok,%21-%35,65500.0
5,Kadın,Türkiye,Tam zamanlı,Uzaktan,50-99,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Android Developer,81.000-90.000 TL,20.000-30.000 TL,Almadım,85500.0
6,Erkek,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Frontend Developer,51.000-60.000 TL,51.000-70.000 TL,%36-%50,55500.0
7,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Business Development Representative,31.000-40.000 TL,20.000-30.000 TL,Henuz belli degil,35500.0
8,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Pazarlama Uzmani,41.000-50.000 TL,31.000-50.000 TL,Almadım,45500.0
9,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Şehir Plancı,21.000-30.000 TL,Ek gelirim yok,%5-%10,25500.0
10,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,İş Analisti,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
11,Kadın,Türkiye,Tam zamanlı,Hybrid,100-149,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım Test Mühendisi,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
12,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Ux/Ui Designer,41.000-50.000 TL,Ek gelirim yok,Henuz belli degil,45500.0
13,Kadın,Türkiye,Tam zamanlı,Uzaktan,150-199,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Ödeme Uzmani,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
14,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Kıdemli Yazılım Geliştirici,81.000-90.000 TL,Ek gelirim yok,%5-%10,85500.0
15,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Proje Yöneticisi,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
16,Erkek,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Veri Mühendisi,61.000-70.000 TL,Ek gelirim yok,%11-%20,65500.0
17,Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,9-12 Yıl,Bilgi Teknolojileri ve Yazılım,Yönetici Asistanı,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
19,Kadın,Türkiye,Yarı zamanlı,Uzaktan,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Marketing Intern,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
20,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Software Test Engineer,31.000-40.000 TL,Ek gelirim yok,%11-%20,35500.0
21,Kadın,Yurt dışı,Tam zamanlı,Uzaktan,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Community Manager,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
22,Erkek,Türkiye,Tam zamanlı,Ofiste,50-99,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Game Developer,61.000-70.000 TL,Ek gelirim yok,Almadım,65500.0
23,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Kıdemli İş Zekası Danışmanı,61.000-70.000 TL,Ek gelirim yok,%11-%20,65500.0
24,Kadın,Türkiye,Tam zamanlı,Uzaktan,100-149,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Sap Basis Danışmanı,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
25,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Ios Developer,51.000-60.000 TL,Ek gelirim yok,%11-%20,55500.0
26,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,It Recruiter,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
27,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Sap Bw Danışmanı,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
28,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Bilgi Ve Belge Yöneticisi,21.000-30.000 TL,Ek gelirim yok,%11-%20,25500.0
29,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Veritabanı Uzmanı,91.000-100.000 TL,150.000 TL ve üstü,%21-%35,95500.0
30,Kadın,Türkiye,Tam zamanlı,Uzaktan,50-99,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Product Data Engineer,61.000-70.000 TL,Ek gelirim yok,Almadım,65500.0
31,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım Test Ve Kalite Uzmanı,31.000-40.000 TL,Ek gelirim yok,%11-%20,35500.0
32,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Product Owner,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
34,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,HR Business Partner,51.000-60.000 TL,20.000-30.000 TL,Henuz belli degil,55500.0
35,Kadın,Türkiye,Tam zamanlı,Uzaktan,100-149,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Sap Danışmanı,71.000-80.000 TL,Ek gelirim yok,%21-%35,75500.0
36,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılımcı Ve Test Mühendisi,51.000-60.000 TL,Ek gelirim yok,%11-%20,55500.0
37,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Iş Analisti,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
38,Kadın,Türkiye,Tam zamanlı,Hybrid,100-149,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Junior Data Analyst,41.000-50.000 TL,Ek gelirim yok,%21-%35,45500.0
39,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Krediler Uzmanı,21.000-30.000 TL,Ek gelirim yok,%21-%35,25500.0
40,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,İş Analisti,41.000-50.000 TL,91.000-110.000 TL,%11-%20,45500.0
42,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Oyun Tasarımcısı,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
43,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım Geliştirme Uzman Yardımcısı,31.000-40.000 TL,20.000-30.000 TL,Almadım,35500.0
44,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Gis Analyst,51.000-60.000 TL,31.000-50.000 TL,%11-%20,55500.0
45,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,İş Analisti,51.000-60.000 TL,Ek gelirim yok,%11-%20,55500.0
46,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,İş Analisti Uzmanı,71.000-80.000 TL,Ek gelirim yok,%21-%35,75500.0
47,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Junior İş Analisti,31.000-40.000 TL,20.000-30.000 TL,Almadım,35500.0
48,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,E-Commerce Analysts & Lead Generation Specialist,41.000-50.000 TL,Ek gelirim yok,Almadım,45500.0
49,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Business Analyst,61.000-70.000 TL,Ek gelirim yok,%21-%35,65500.0
50,Erkek,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Kıdemli İş Analisti,81.000-90.000 TL,Ek gelirim yok,%11-%20,85500.0
51,Kadın,Türkiye,Tam zamanlı,Uzaktan,50-99,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Product Manager,71.000-80.000 TL,Ek gelirim yok,Almadım,75500.0
52,Erkek,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Yazilim Mühendisi,71.000-80.000 TL,Ek gelirim yok,%11-%20,75500.0
54,Kadın,Türkiye,Tam zamanlı,Uzaktan,50-99,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Mobile Developer,61.000-70.000 TL,Ek gelirim yok,%11-%20,65500.0
55,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Jr. R&D Specialist,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
56,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,It Recruitment Specialist,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
57,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Dijital Pazarlama,31.000-40.000 TL,Ek gelirim yok,%5-%10,35500.0
58,Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Uzman,41.000-50.000 TL,Ek gelirim yok,Henuz belli degil,45500.0
59,Erkek,Türkiye,Tam zamanlı,Ofiste,50-99,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Satış Ve Pazarlama Müdürü,101.000-120.000 TL,Ek gelirim yok,Almadım,110500.0
60,Kadın,Yurt dışı,Tam zamanlı,Uzaktan,50-99,7-9 Yıl,Bilgi Teknolojileri ve Yazılım,Product Manager,61.000-70.000 TL,Ek gelirim yok,Almadım,65500.0
61,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Frontend Developer,31.000-40.000 TL,51.000-70.000 TL,Almadım,35500.0
62,Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Frontend Developer,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
63,Erkek,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Linux Administrator,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
64,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Iş Zekası Danışmanı,51.000-60.000 TL,Ek gelirim yok,%11-%20,55500.0
65,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım Destek Uzmanı,41.000-50.000 TL,51.000-70.000 TL,%36-%50,45500.0
66,Erkek,Türkiye,Tam zamanlı,Uzaktan,50-99,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Software Support Specialist,31.000-40.000 TL,Ek gelirim yok,%21-%35,35500.0
67,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Sap B1 Consultant,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
68,Erkek,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Teknik Destek Uzmanı,31.000-40.000 TL,111.000-150.000 TL,%21-%35,35500.0
69,Kadın,Türkiye,Tam zamanlı,Hybrid,100-149,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım Geliştirici,10.000-20.000 TL,Ek gelirim yok,%5-%10,15000.0
70,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Growth Specialist,51.000-60.000 TL,Ek gelirim yok,%11-%20,55500.0
71,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,İş Analisti,71.000-80.000 TL,Ek gelirim yok,%11-%20,75500.0
72,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,İş Geliştirme Sorumlusu,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
73,Kadın,Türkiye,Tam zamanlı,Uzaktan,100-149,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Q&A Muhendisi,81.000-90.000 TL,91.000-110.000 TL,%36-%50,85500.0
74,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,System Manager,21.000-30.000 TL,20.000-30.000 TL,%5-%10,25500.0
75,Erkek,Türkiye,Tam zamanlı,Uzaktan,50-99,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Satış Uzmanı,21.000-30.000 TL,20.000-30.000 TL,%11-%20,25500.0
76,Kadın,Türkiye,Yarı zamanlı,Hybrid,150-199,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,İnsan Kaynakları N’Talent,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
77,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,İdari İşler Asistanı,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
